channel_name,channel_id,title_found,subscribers,link,thumbnail
Bum Bum Kids Arabic,UC2l2PpZB_kqmyxVVzAO9DvA,Bum Bum Kids Arabic - أغاني أطفال ورسوم متحركة,@BumBumKidsArabic,https://www.youtube.com/channel/UC2l2PpZB_kqmyxVVzAO9DvA,https://yt3.ggpht.com/JnkEPU_86GbqVMoggJV3HGUZKo5fgOYraRSiMHqId5kccbAOC2ASIy2rVsev68pr7ag4J8C7eQ=s88-c-k-c0x00ffffff-no-rj-mo
Cosmic Kids Yoga,UC5uIZ2KOZZeQDQo_Gsi_qbQ,Cosmic Kids Yoga,@CosmicKidsYoga,https://www.youtube.com/channel/UC5uIZ2KOZZeQDQo_Gsi_qbQ,https://yt3.ggpht.com/Yc9p76OfTXkdYN5f0iGJqpfmgTZxZkmwvwmL6S7s63QA8UTuBFyBfjL6xYpsX-XdGiKqxfGWkQ=s88-c-k-c0x00ffffff-no-rj-mo
Daniella Bebb,UC2UDAotjwzdMnPToVg7_dsg,Daniella Bebb,@DaniellaBallerina,https://www.youtube.com/channel/UC2UDAotjwzdMnPToVg7_dsg,https://yt3.googleusercontent.com/ytc/AIdro_m_QBqz4b68P1MIUT5efz0U3A4DJR8mqzeN5YMmebee5j8=s88-c-k-c0x00ffffff-no-rj-mo
Danny Go!,UC3wCAOfSB0W9iuKDDtNJeGw,Danny Go!,@DannyGo,https://www.youtube.com/channel/UC3wCAOfSB0W9iuKDDtNJeGw,https://yt3.ggpht.com/XZRGHp_h5B4hPN0ONESzPKv08p_1oBkkkyTYHsTWQpRtcsY6_HwXWmHQ6DhXxvztj5SwWB7rvw=s88-c-k-c0x00ffffff-no-rj-mo
Debbie Doo,UCMyyXCurk6jXXOWt2eKyCgg,Debbie Doo Kids TV,@DebbieDooKidsTV,https://www.youtube.com/channel/UCMyyXCurk6jXXOWt2eKyCgg,https://yt3.ggpht.com/ytc/AIdro_lE2kdYiFQjD7cfTzAbMenJuWrlvslPEHenqB7uSHhsYKQ=s88-c-k-c0x00ffffff-no-rj-mo
Dr.Arabiy,UC28znrZD8Ya9AXge-_9Dwpw,Dr.Arabiy دكتور عربي,@drarabiy,https://www.youtube.com/channel/UC28znrZD8Ya9AXge-_9Dwpw,https://yt3.ggpht.com/8enXyd6ssdhRZTan8f9lGXiBnpCl1tKCshzJIMcicir69kNUmZyNEni1nS1erOwrKJrVxKb1NYY=s88-c-k-c0x00ffffff-no-rj-mo
Go with YOYO,UCg66zBWz7bQOXAw31MdtPCQ,GO WITH YOYO - Fitness Fun For Kids,@gowithyoyoTV,https://www.youtube.com/channel/UCg66zBWz7bQOXAw31MdtPCQ,https://yt3.ggpht.com/sNtjyxp3SwkiUmeSWw0VOEJZdRKmp_AxArUFoneJqMSpZ7arRETmwKnTQOI4vEa6oC7T20x_1w=s88-c-k-c0x00ffffff-no-rj-mo
GoNoodle,UC2YBT7HYqCbbvzu3kKZ3wnw,GoNoodle | Get Moving,@GoNoodle,https://www.youtube.com/channel/UC2YBT7HYqCbbvzu3kKZ3wnw,https://yt3.googleusercontent.com/ytc/AIdro_lpPsraLlE6yw-vcFVQ7b64fIW-0jEkKgzL5eHc3Xv2zVk=s88-c-k-c0x00ffffff-no-rj-mo
Just Dance (قنوات رسمية + Kids),UChIjW4BWKLqpojTrS_tX0mg,Just Dance,@justdancegame,https://www.youtube.com/channel/UChIjW4BWKLqpojTrS_tX0mg,https://yt3.googleusercontent.com/RRGebEyyR7Ko8A9M1XenI929aq9BoYRPtPqGDusQN0ljBsb0RgNPHYRkjGGaU-0LU_e_vkgge1Q=s176-c-k-c0x00ffffff-no-rj-mo
Kidz Bop,UCKE0Xnj818IDaHvIcRiq0Bg,KIDZ BOP,@kidzbop,https://www.youtube.com/channel/UCKE0Xnj818IDaHvIcRiq0Bg,https://yt3.googleusercontent.com/KNyoR440C6vB8FU2OMDoKIiuxJ9t0bkRDTKBJ9eCl-H_LH66i-g6uVrCqWKsh2Zi8cBSG1jE624=s88-c-k-c0x00ffffff-no-rj-mo
