channel_name,channel_id,title_found,subscribers,link,thumbnail
5-Minute Crafts PLAY,UC57XAjJ04TY8gNxOWf-Sy0Q,5-Minute Crafts PLAY,@5MinuteCraftsPLAY,https://www.youtube.com/channel/UC57XAjJ04TY8gNxOWf-Sy0Q,https://yt3.ggpht.com/48s32ikifVY3rPWssd2KtXfCVdiCEraecjBiFzyEffLnh2R6wdbNJ7fm0THbRgn8hQBvV5_JcA=s88-c-k-c0x00ffffff-no-rj-mo
ABCmouse (محتوى مختار),UCPvEbO2bI5x1MVLUuRJoZXg,ABCmouse,@ABCmouse,https://www.youtube.com/channel/UCPvEbO2bI5x1MVLUuRJoZXg,https://yt3.ggpht.com/vCGruFK7tUJBU0Iz-v58uSctPAR7A8Ywy4mhC37Dr1-3_47oRSaXHoOXOhMzv3WQNqPpdr8z=s88-c-k-c0x00ffffff-no-rj-mo
All Attack,UC0Ik25PHaiHCbfGrzu-lBFQ,AllAttack,@AllAttack,https://www.youtube.com/channel/UC0Ik25PHaiHCbfGrzu-lBFQ,https://yt3.googleusercontent.com/ytc/AIdro_kmqQt8yOlN5A8DFkGdnedC6CuZQwH5eG9Bum4lFMafYoI=s88-c-k-c0x00ffffff-no-rj-mo
Alphablocks,UC_qs3c0ehDvZkbiEbOj6Drg,Alphablocks,@officialalphablocks,https://www.youtube.com/channel/UC_qs3c0ehDvZkbiEbOj6Drg,https://yt3.ggpht.com/4hW2cvLDW8yX5v3O_PzzyfHhQ0MCv_URg_OFOdElQ0jJ-BmiS0zXMUwikr-D1WMkC2taQO-S=s88-c-k-c0x00ffffff-no-rj-mo
Alphablocks (إيقاع هادئ),UCL-4ESYef2c_lm7eC-BeB7g,Alphablocks - Topic,1.36K subscribers,https://www.youtube.com/channel/UCL-4ESYef2c_lm7eC-BeB7g,https://yt3.ggpht.com/cMyUw7ffJdv0iBvjkjBoJqIYxmDTC9MYTFa-smqljMDLlxtkYpm3DxmQxOyqx_hb3lYtqlIV=s88-c-k-c0x00ffffff-no-rj-mo
Arabian Fairy Tales,UCazFScO30FKY3YoNNDfNY5g,Arabian Fairy Tales,@ArabianFairyTales,https://www.youtube.com/channel/UCazFScO30FKY3YoNNDfNY5g,https://yt3.googleusercontent.com/ytc/AIdro_lM_-zvamn9foYGWs_sKC1sjmMBEk6nOhsC4ZSHhg-GbPI=s88-c-k-c0x00ffffff-no-rj-mo
Art Hub for Kids,UC5XMF3Inoi8R9nSI8ChOsdQ,Art for Kids Hub,@artforkidshub,https://www.youtube.com/channel/UC5XMF3Inoi8R9nSI8ChOsdQ,https://yt3.ggpht.com/2v2xIGZEuGhqBC5wVyqgal0UMtyClFzVVOw7brPTSPtR_Sii_k1BehSxI-e5X_FiKu7nkF36IR4=s88-c-k-c0x00ffffff-no-rj-mo
Art for Kids Hub,UC5XMF3Inoi8R9nSI8ChOsdQ,Art for Kids Hub,@artforkidshub,https://www.youtube.com/channel/UC5XMF3Inoi8R9nSI8ChOsdQ,https://yt3.ggpht.com/2v2xIGZEuGhqBC5wVyqgal0UMtyClFzVVOw7brPTSPtR_Sii_k1BehSxI-e5X_FiKu7nkF36IR4=s88-c-k-c0x00ffffff-no-rj-mo
BabyTV العربية,UCoNd526tmPb5Yw9CzkcdnTw,BabyTV العربية,@BabyTVArabic,https://www.youtube.com/channel/UCoNd526tmPb5Yw9CzkcdnTw,https://yt3.ggpht.com/9wFx3QDV4idXtTl5qK8pH0jKXp1NQNzoqBS7Ln7-E1PU4-Grx5JzaDdYR9P4f7wD2tfKrXzwcg=s88-c-k-c0x00ffffff-no-rj-mo
Barefoot Books,UCf_8ZTFvJeS8U60W8C8PGhA,Barefoot Books,@barefootbooks,https://www.youtube.com/channel/UCf_8ZTFvJeS8U60W8C8PGhA,https://yt3.googleusercontent.com/ytc/AIdro_lD3mKbImDwLfOXWER5E_60sA0PZ4a3pB8iR5PXaoq9xA=s88-c-k-c0x00ffffff-no-rj-mo
BippyBop Arabic,UCxi_HolIC4vKAq3rRSHEf0A,BippyBop Arabic,@BippyBopArabic,https://www.youtube.com/channel/UCxi_HolIC4vKAq3rRSHEf0A,https://yt3.ggpht.com/MqlU5Ce0l8-IK_hAvGDjyVOTgF_PQwJ5Wd_V9v50bqjEB2fn8knWEzMaxHlmsKsUc3AZepk9pg=s88-c-k-c0x00ffffff-no-rj-mo
Blippi,UCTHDPeOUn0xGxsKv6j_-oZQ,Blippi Plays - Video Games for Kids,@BlippiRoblox,https://www.youtube.com/channel/UCTHDPeOUn0xGxsKv6j_-oZQ,https://yt3.ggpht.com/tJXhBauN4eajNWzqmCxxm6o1sOIxuBmJaT-rT8lY-tyHRt5ll3aaJhaSFoR3uxBD1W9UncgzXEw=s88-c-k-c0x00ffffff-no-rj-mo
Blue's Clues & You,UCjZo1E1P6wDDyw6ImVgKM-A,Blue's Clues & You!,@bluesclues,https://www.youtube.com/channel/UCjZo1E1P6wDDyw6ImVgKM-A,https://yt3.googleusercontent.com/ytc/AIdro_mQajRZ_lOUY3N7suej4JQbe5dk6jKd7X8Dx61F3GCQw3k=s88-c-k-c0x00ffffff-no-rj-mo
Bluey,UCsHGwvra0mC27IQdtXwaLpA,Bluey - Topic,127K subscribers,https://www.youtube.com/channel/UCsHGwvra0mC27IQdtXwaLpA,https://yt3.ggpht.com/nQ9keHMuy_sL4cEbcDX1BHDgt_1U2tDz7oH4FtW25ZZw2xFOxnh06BODN9Sm3kj1QQIa1c2Ht1E=s88-c-k-c0x00ffffff-no-rj-mo
Bluey (بعض الحلقات),UCm0El674XYsAp0nAB2pHrRg,Bluey Arabic Official | قناة بلوي العربية الرسمية ,@BlueyArabicOfficial,https://www.youtube.com/channel/UCm0El674XYsAp0nAB2pHrRg,https://yt3.ggpht.com/gRG9a2-VToAZHHsU_9scQsmlELYx__bdQLW1KT651sUldFbvQILVCIS6ArKaNclfN8RkwG9-uQ=s88-c-k-c0x00ffffff-no-rj-mo
Brightly Storytime,UCvQagFNHMrGgQpYunk4rHXg,Brightly Storytime,@BrightlyStorytime,https://www.youtube.com/channel/UCvQagFNHMrGgQpYunk4rHXg,https://yt3.ggpht.com/xlk7yxMO-I1zef73Bvq3vNeFxoX48NCXCauc8QrgqzPwe55d3oMWsrPp9MtWZr5VDmz2R25RVg=s88-c-k-c0x00ffffff-no-rj-mo
