channel_name,channel_id,title_found,subscribers,link,thumbnail
5-Minute Crafts PLAY,UC57XAjJ04TY8gNxOWf-Sy0Q,5-Minute Crafts PLAY,@5MinuteCraftsPLAY,https://www.youtube.com/channel/UC57XAjJ04TY8gNxOWf-Sy0Q,https://yt3.ggpht.com/48s32ikifVY3rPWssd2KtXfCVdiCEraecjBiFzyEffLnh2R6wdbNJ7fm0THbRgn8hQBvV5_JcA=s88-c-k-c0x00ffffff-no-rj-mo
Art for Kids Hub,UC5XMF3Inoi8R9nSI8ChOsdQ,Art for Kids Hub,@artforkidshub,https://www.youtube.com/channel/UC5XMF3Inoi8R9nSI8ChOsdQ,https://yt3.ggpht.com/2v2xIGZEuGhqBC5wVyqgal0UMtyClFzVVOw7brPTSPtR_Sii_k1BehSxI-e5X_FiKu7nkF36IR4=s88-c-k-c0x00ffffff-no-rj-mo
BippyBop Arabic,UCxi_HolIC4vKAq3rRSHEf0A,BippyBop Arabic,@BippyBopArabic,https://www.youtube.com/channel/UCxi_HolIC4vKAq3rRSHEf0A,https://yt3.ggpht.com/MqlU5Ce0l8-IK_hAvGDjyVOTgF_PQwJ5Wd_V9v50bqjEB2fn8knWEzMaxHlmsKsUc3AZepk9pg=s88-c-k-c0x00ffffff-no-rj-mo
Crafts for Kids,UCow8r2F5tZVFQUM8vGiXswQ,Crayola Create Kids,@CrayolaCreateKids,https://www.youtube.com/channel/UCow8r2F5tZVFQUM8vGiXswQ,https://yt3.ggpht.com/fap6hRY0pSxfPAdE1dAbhgTOUY3o0sOfDhll9VX_99a-tj-Ql96AUX0uSM-fh7VPaOmsVkCaRQ=s88-c-k-c0x00ffffff-no-rj-mo
Draw So Cute,UC3dEvA1is6-0_yuei9iCdEw,Draw So Cute,@DrawSoCute,https://www.youtube.com/channel/UC3dEvA1is6-0_yuei9iCdEw,https://yt3.googleusercontent.com/ytc/AIdro_kswlJQnZEVfsfnM33vbryqbOqStHtF2G_zAMOlFHSzjfE=s88-c-k-c0x00ffffff-no-rj-mo
Drawing with Mati and Dada,UCR2NlUr0yPuqRxZN_7ItHog,Art with Mati & Dada,@ArtwithMatiDada,https://www.youtube.com/channel/UCR2NlUr0yPuqRxZN_7ItHog,https://yt3.googleusercontent.com/ytc/AIdro_kCidg6giqynBzGn5421GzAeZ_I-XL6LDiBolPCwptkFrM=s88-c-k-c0x00ffffff-no-rj-mo
Easy Kids Drawings,UC39j1-_emTMedrUgH-Z7LEA,Easy Kids Drawings,@EasyKidsDrawings,https://www.youtube.com/channel/UC39j1-_emTMedrUgH-Z7LEA,https://yt3.googleusercontent.com/ytc/AIdro_krvysi4tl2pkaVnYnvNTGFdfQuGaH_pOPAbWlLuz_MCA=s88-c-k-c0x00ffffff-no-rj-mo
Farjana Drawing Academy,UCd3s7BuoOlu4bRJL6RdGWXw,Farjana Drawing Academy,@FarjanaDrawingAcademy,https://www.youtube.com/channel/UCd3s7BuoOlu4bRJL6RdGWXw,https://yt3.ggpht.com/hm6mWNIIYmhAk9PkkUl-yjXLlhCfj8GciMnbYDHVcGlNY0Jj-AccxhS_nPxXp1fsvvrCiGt1s1c=s88-c-k-c0x00ffffff-no-rj-mo
Hello Kitty,UCQBOAYwPdqzr1TxmjT-91Sg,Hello Kitty and Friends,@HelloKittyandFriends,https://www.youtube.com/channel/UCQBOAYwPdqzr1TxmjT-91Sg,https://yt3.ggpht.com/pgCxgy-Zgo9MRSMDkxnmchZnEO-bRLMq-54D_G6CXfsHy_bSpzm5Fp1h-3BFWcsGs3rJPt1haKA=s88-c-k-c0x00ffffff-no-rj-mo
How to Draw,UC-biucJWhM8HwjsQ96uoIUw,Cartooning Club How to Draw,@cartooningclub,https://www.youtube.com/channel/UC-biucJWhM8HwjsQ96uoIUw,https://yt3.googleusercontent.com/ytc/AIdro_kR3dlRUhrchaZhIsMjD5L9ZpA2CPFrmhH909mXSQcWqSg=s88-c-k-c0x00ffffff-no-rj-mo
