channel_name,channel_id,title_found,subscribers,link,thumbnail
Alphablocks (إيقاع هادئ),UCL-4ESYef2c_lm7eC-BeB7g,Alphablocks - Topic,1.36K subscribers,https://www.youtube.com/channel/UCL-4ESYef2c_lm7eC-BeB7g,https://yt3.ggpht.com/cMyUw7ffJdv0iBvjkjBoJqIYxmDTC9MYTFa-smqljMDLlxtkYpm3DxmQxOyqx_hb3lYtqlIV=s88-c-k-c0x00ffffff-no-rj-mo
Arabian Fairy Tales,UCazFScO30FKY3YoNNDfNY5g,Arabian Fairy Tales,@ArabianFairyTales,https://www.youtube.com/channel/UCazFScO30FKY3YoNNDfNY5g,https://yt3.googleusercontent.com/ytc/AIdro_lM_-zvamn9foYGWs_sKC1sjmMBEk6nOhsC4ZSHhg-GbPI=s88-c-k-c0x00ffffff-no-rj-mo
Bluey (بعض الحلقات),UCm0El674XYsAp0nAB2pHrRg,Bluey Arabic Official | قناة بلوي العربية الرسمية ,@BlueyArabicOfficial,https://www.youtube.com/channel/UCm0El674XYsAp0nAB2pHrRg,https://yt3.ggpht.com/gRG9a2-VToAZHHsU_9scQsmlELYx__bdQLW1KT651sUldFbvQILVCIS6ArKaNclfN8RkwG9-uQ=s88-c-k-c0x00ffffff-no-rj-mo
Brightly Storytime,UCvQagFNHMrGgQpYunk4rHXg,Brightly Storytime,@BrightlyStorytime,https://www.youtube.com/channel/UCvQagFNHMrGgQpYunk4rHXg,https://yt3.ggpht.com/xlk7yxMO-I1zef73Bvq3vNeFxoX48NCXCauc8QrgqzPwe55d3oMWsrPp9MtWZr5VDmz2R25RVg=s88-c-k-c0x00ffffff-no-rj-mo
Calm,UChSpME3QaSFAWK8Hpmg-Dyw,Calm,@calm,https://www.youtube.com/channel/UChSpME3QaSFAWK8Hpmg-Dyw,https://yt3.googleusercontent.com/ytc/AIdro_kyX1mWTQR4tCQPDwAata5PBrUWcI_qqN27RFDrXjHk26E=s88-c-k-c0x00ffffff-no-rj-mo
Kids Planet عربي,UCPypKAlYwwVz9Bsc8ifpbzQ,Kids Planet عربى,@KidsPlanetArabic,https://www.youtube.com/channel/UCPypKAlYwwVz9Bsc8ifpbzQ,https://yt3.googleusercontent.com/ytc/AIdro_ksDSEKj4mfy62BU8VS7p5dc5XnNbuUdWdMvitbP9bJJA=s88-c-k-c0x00ffffff-no-rj-mo
Koala Moon,UCdohmjLi5ZOVVV3EWCEOqSg,Koala Moon - Kids Bedtime Stories,@koalamoonfm,https://www.youtube.com/channel/UCdohmjLi5ZOVVV3EWCEOqSg,https://yt3.ggpht.com/YgCG9h92CyHXSBSlVTftt2DBaYmL59fXUlCPB4N8KSCmGCpj67IxZauQdJ5SoKImdh9wzhIz=s88-c-k-c0x00ffffff-no-rj-mo
Lali Kids,UCHe3dvWc9tiTZ9jReuZLLwA,Lali kids Songs أغاني لالي كدز ,@LaliKids,https://www.youtube.com/channel/UCHe3dvWc9tiTZ9jReuZLLwA,https://yt3.googleusercontent.com/vzy_AQcgLXpe3rTAmpwq0AzA9PpD8StoU8QNUMhu4OAg4j7B7ObNI3M5Yyin2Vb-yjfs6vY34A=s88-c-k-c0x00ffffff-no-rj-mo
Ms. Rachel (أجزاء هادئة),UCG2CL6EUjG8TVT1Tpl9nJdg,Ms Rachel - Toddler Learning Videos,@msrachel,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,https://yt3.ggpht.com/C2nKGvtlPIpTO80svL80ZRRArA_512rEBMiZH6IWForDdVLd0SlVYQVObnmHxzVTeH9sOeNO=s88-c-k-c0x00ffffff-no-rj-mo
Numberblocks (حلقات هادئة),UCPlwvN0w4qFSP1FllALB92w,Numberblocks,@Numberblocks,https://www.youtube.com/channel/UCPlwvN0w4qFSP1FllALB92w,https://yt3.ggpht.com/lhZzvbA1gptFuwFBPKJBsyCS7eksCbOWdX0iLNZeUygKGysu6veWmSGFVNJTGd9qfvYXoPTJoIw=s88-c-k-c0x00ffffff-no-rj-mo
