channel_name,channel_id,title_found,subscribers,link,thumbnail
أسرتنا,UCWIdqSQekeGmUWlSFeCiEnA,Osratouna tv - قناة أسرتنا,@Osratouna,https://www.youtube.com/channel/UCWIdqSQekeGmUWlSFeCiEnA,https://yt3.ggpht.com/e1j5eJXs-YInZyzWYahj0If0BgssXo_rxZ3WO2Yy2hxsBoQT658f1drvZuoy6t6dJl6eA1w9=s88-c-k-c0x00ffffff-no-rj-mo
أهلا سمسم,UC48pfslXOUx-PZTLQxZjS4g,اهلا سمسم - Ahlan Simsim,@ahlansimsim,https://www.youtube.com/channel/UC48pfslXOUx-PZTLQxZjS4g,https://yt3.googleusercontent.com/ytc/AIdro_n7OrVY5nsST3Mzf-2OaxSj4B_lew2lT6QCK_sJp9VrCEY=s88-c-k-c0x00ffffff-no-rj-mo
براعم,UCde9U_zi5qPCPffmSPwpbXA,براعم / Baraem,@براعم-ه5ج,https://www.youtube.com/channel/UCde9U_zi5qPCPffmSPwpbXA,https://yt3.ggpht.com/cx1Y0PbchvVJYTuOvJwTXMFWK_HwvdnJxTq0oW7BpjStGDCVSv_YW786RMSZtnNl3PvBkH7tWg=s88-c-k-c0x00ffffff-no-rj-mo
تعلم مع زكريا,UCtlcIZVBdFPSAtCoNZsTusg,Learn with Zakaria - تعلم مع زكريا,@LearnWithZakaria,https://www.youtube.com/channel/UCtlcIZVBdFPSAtCoNZsTusg,https://yt3.googleusercontent.com/ytc/AIdro_m53hyD-iEwEjLfQB5xKyRqmyNPUVvfJV1XI9JLztgpDdc=s88-c-k-c0x00ffffff-no-rj-mo
ريحانة,UCEzDlTbKkx5rqDZJp01qHcQ,Rayhana Kids TV - قناة ريحانة للأطفال,@RayhanaKidsTV,https://www.youtube.com/channel/UCEzDlTbKkx5rqDZJp01qHcQ,https://yt3.googleusercontent.com/oN3fr7CWUVFBLfbS9Y-3ECZNoECT1txiQQZ2X15DLEXnFdwDBxlx6VkR1K8CmOaNp-gqwdDLs0M=s88-c-k-c0x00ffffff-no-rj-mo
سراج,UCfEOy302XpjN00cQ2GW4aZA,SIRAJ,@sirajshowofficial,https://www.youtube.com/channel/UCfEOy302XpjN00cQ2GW4aZA,https://yt3.ggpht.com/0P1fVwSW2hu0HMJX4SMTXz1euZ5ANf5uiDplEGWpqEZVfJeZw7o996q5PxMK8RpifEckeVdTqw=s88-c-k-c0x00ffffff-no-rj-mo
شبكة المجد للأطفال,UCXZ9W0jgxGmy2kphRrqRCFA,المجد للأطفال - AlmajdKids,@AlmajdKids,https://www.youtube.com/channel/UCXZ9W0jgxGmy2kphRrqRCFA,https://yt3.ggpht.com/3AQCNjpjHvwpYCbi9anvsOZZSxa5tUVBR8Yn9J6lNzpaUMpRosCstN7a8R3r2l37dzLybzAs6so=s88-c-k-c0x00ffffff-no-rj-mo
طيور الجنة,UCjDIGbE4CaE4qler1OUHvlA,قناة طيور الجنة toyoraljanahtv,@toyoraljanahtv255,https://www.youtube.com/channel/UCjDIGbE4CaE4qler1OUHvlA,https://yt3.googleusercontent.com/ytc/AIdro_lct0BJSYoOZat13xPrjvipV2cNIUaI8QOSxUdmcP__qSw=s88-c-k-c0x00ffffff-no-rj-mo
قناة المعرفة للصغار,UCqVHNHSRdNOu-6vFR8t0JEw,قناة المعرفة للصغار,@قناةالمعرفةللصغار,https://www.youtube.com/channel/UCqVHNHSRdNOu-6vFR8t0JEw,https://yt3.ggpht.com/FzJGCL7MY4grQQp1ZQJqKoZ84AjNCKS4G-JCbRdABy6u9tcX8ir0u7SfMQbiZ98R9SMaLYfw=s88-c-k-c0x00ffffff-no-rj-mo
كراميش,UCZ7V5FSAdPkRjPf64pPx9-Q,karameeshchannel,@karameeshchannel,https://www.youtube.com/channel/UCZ7V5FSAdPkRjPf64pPx9-Q,https://yt3.googleusercontent.com/ytc/AIdro_m5G2nAlc3APcmhLw1vLk2fi1tkIMQRSecAAfun7tq_j38=s88-c-k-c0x00ffffff-no-rj-mo
نون الأطفال,UCx3IP089PFM5-6gyMuwPTjA,نون تون - Noon Toon,@NoonToon,https://www.youtube.com/channel/UCx3IP089PFM5-6gyMuwPTjA,https://yt3.ggpht.com/xrW8kl6nmfeUzwq3zTbU2T1as-mtmBChH8cA0qxdhZsK695HjUAoqIx0JX8UoJJy669bkBCmlQ=s88-c-k-c0x00ffffff-no-rj-mo
هدهد,UC6IHxUdmpNoFQJkJRA77UpA,Hudhud,@HudHudsongs,https://www.youtube.com/channel/UC6IHxUdmpNoFQJkJRA77UpA,https://yt3.ggpht.com/UdlE83XYN7xBlDzBohZ7y_QVagAvUgg8eSOGgcNZuikCQwvpvjytkydizQTmEKpFsng3_LbBig=s88-c-k-c0x00ffffff-no-rj-mo
