channel_name,channel_id,title_found,subscribers,link,thumbnail
DanTDM,UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,@DanTDM,https://www.youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw,https://yt3.ggpht.com/1IPv4TRdl3RaT1HEsqdvjzqA0OvBHbVxZFt2U5QZHKDgbEGosdazeBqyJH9ZU5rhs9kfC8dGXRc=s88-c-k-c0x00ffffff-no-rj-mo
FGTeeV,UCC-RHF_77zQdKcA75hr5oTQ,FGTeeV,@fgteev,https://www.youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ,https://yt3.ggpht.com/8lYzEQAP23681vKEG0ahOTlsM6kBwvq8fNDWgNzhq8cYTlPcBVWGZifL6huG9M_3AedplOvpjlQ=s88-c-k-c0x00ffffff-no-rj-mo
Fun Arabic,UC18sdBGHRZZS7X78Im8FiGQ,Fun Arabic,@ranyasadek,https://www.youtube.com/channel/UC18sdBGHRZZS7X78Im8FiGQ,https://yt3.ggpht.com/AhqFQ0MSu29yx2cafmqDR-vnG_gqZAL0aY2SFZKK1KyppNpcN2DYepJeGBvI9W3wPNBwen87VA=s88-c-k-c0x00ffffff-no-rj-mo
Grian,UCR9Gcq0CMm6YgTzsDxAxjOQ,Grian,@Grian,https://www.youtube.com/channel/UCR9Gcq0CMm6YgTzsDxAxjOQ,https://yt3.googleusercontent.com/ytc/AIdro_nyjQZU-LepEchkLUZAXz4gNeiF8F28SshYks_Fm-w_HdQ=s88-c-k-c0x00ffffff-no-rj-mo
LDShadowLady,UCzTlXb7ivVzuFlugVCv3Kvg,LDShadowLady,@ldshadowlady,https://www.youtube.com/channel/UCzTlXb7ivVzuFlugVCv3Kvg,https://yt3.googleusercontent.com/ytc/AIdro_loVvz-5y3s38zJnTXR0E88D6zgprykC8f_4OfVoai2vgY=s88-c-k-c0x00ffffff-no-rj-mo
Minecraft (الرسمية + بعض الـ Let's Play الهادئة),UC1sELGmy5jp5fQUugmuYlXQ,Minecraft,@minecraft,https://www.youtube.com/channel/UC1sELGmy5jp5fQUugmuYlXQ,https://yt3.ggpht.com/2gEQWk9ws0NNWIOva0M7NwU9LtIDHfNvY0nLGdhqNvDUn3Sk4kNsTZQZ_ILl70CQrjKSZjhqAP0=s88-c-k-c0x00ffffff-no-rj-mo
Mumbo Jumbo,UChFur_NwVSbUozOcF_F2kMg,Mumbo Jumbo,@ThatMumboJumbo,https://www.youtube.com/channel/UChFur_NwVSbUozOcF_F2kMg,https://yt3.ggpht.com/ssE5Ek6IuCo3BjDPDodGFjQ6_Ubtt4iKpKmLNznY55gEXjxHAFGK_8YB1tjI5V_vfYqT298DAw=s88-c-k-c0x00ffffff-no-rj-mo
PopularMMOs,UCpGdL9Sn3Q5YWUH2DVUW1Ug,PopularMMOs,@PopularMMOs,https://www.youtube.com/channel/UCpGdL9Sn3Q5YWUH2DVUW1Ug,https://yt3.googleusercontent.com/ytc/AIdro_lqRHknIYOW_QrnL2wSAFs9136GO5PGl8OxjN3qU0fN9lw=s88-c-k-c0x00ffffff-no-rj-mo
PrestonPlayz,UCJZam2u1G0syq3kyqrCXrNw,PrestonPlayz,@PrestonPlayz,https://www.youtube.com/channel/UCJZam2u1G0syq3kyqrCXrNw,https://yt3.googleusercontent.com/ytc/AIdro_lsdcmmUcwdYIBXTz4H3bae3QalHQcbCHg9aJs6ve4HZZM=s88-c-k-c0x00ffffff-no-rj-mo
Roblox (قنوات مختارة فقط),UCjiPEaapiHbJMoAdi_L8fNA,Roblox,@Roblox,https://www.youtube.com/channel/UCjiPEaapiHbJMoAdi_L8fNA,https://yt3.ggpht.com/xTxr7gmbkxiPKjrmN5ut0Kn8UcHpkkgyTv-_EeDPphcQusrWyKfSZw13EKCYXQyYdeoC3ON1zQ=s88-c-k-c0x00ffffff-no-rj-mo
SmallishBeans,UC4qdHN4zHhd4VvNy3zNgXPA,SmallishBeans,@SmallishBeans,https://www.youtube.com/channel/UC4qdHN4zHhd4VvNy3zNgXPA,https://yt3.googleusercontent.com/ytc/AIdro_mQzJ2R0m_C0x-GO8mOUYH2W7nV0LCwjdllSbSJnQN5Ww=s88-c-k-c0x00ffffff-no-rj-mo
Some mobile game channels (تختار يدويًا),SKIPPED_NOTE,,,,
Squishy,UCQVpi_9XVHymazvbC1JyJQQ,Squishy Kids TV,@squishykidstv7298,https://www.youtube.com/channel/UCQVpi_9XVHymazvbC1JyJQQ,https://yt3.googleusercontent.com/ytc/AIdro_kdBtZaUhYhEOVTp_yD3qTsUeXmfhpisUhOccdAppS8EQ=s88-c-k-c0x00ffffff-no-rj-mo
Stampy,UCj5i58mCkAREDqFWlhaQbOw,stampylonghead,@stampycat,https://www.youtube.com/channel/UCj5i58mCkAREDqFWlhaQbOw,https://yt3.googleusercontent.com/ytc/AIdro_mtltcKru89_vkdQhLul5HMTHLjNf2WaEMx-CCZ57r5U04=s88-c-k-c0x00ffffff-no-rj-mo
Unspeakable,UCwIWAbIeu0xI0ReKWOcw3eg,Unspeakable,@Unspeakable,https://www.youtube.com/channel/UCwIWAbIeu0xI0ReKWOcw3eg,https://yt3.googleusercontent.com/ytc/AIdro_l9fWjJ_HbQgKpYTpi5Y21Cwow2-m0OBsxwzXyf6CE28ro=s88-c-k-c0x00ffffff-no-rj-mo
آدم ومشمش,UC2mcPN2YDX31oaLnfZScx_g,Adam & Mishmish - Arabic Songs For Kids,@AdamWaMishmish,https://www.youtube.com/channel/UC2mcPN2YDX31oaLnfZScx_g,https://yt3.ggpht.com/wDVqJEgwAmOPXa_8-19el8zCaYMzn-7cvL0dFLxmzuXAGR2KwbQBJAtlVjM3QWlse1j--beABg=s88-c-k-c0x00ffffff-no-rj-mo
بعض قنوات ماينكرافت العربية,UC2qgn2PMJZYPWbJNQkQQU8A,لوفي - LUFFY,@LUFFYMin,https://www.youtube.com/channel/UC2qgn2PMJZYPWbJNQkQQU8A,https://yt3.ggpht.com/uf-Bn3p_3olaLxSbYnIF2R2SXSkyNP8CojKfhdygKcj6Cg5_ME2nUXS6-Jh8maqNa4T9O3kV8Q=s88-c-k-c0x00ffffff-no-rj-mo
ثعلوب TV,UCBV-ptf9Vq6I2hueEwviHRg,Tha3lob tv - قناة ثعلوب,@Tha3lob,https://www.youtube.com/channel/UCBV-ptf9Vq6I2hueEwviHRg,https://yt3.ggpht.com/_NmDaN-q2aKFCSNPk0ZBs6w4bKUmwlMXL9XpSidMbaKyXp5uB_3sMRAyt-D-on6uZsTGxZ-H=s88-c-k-c0x00ffffff-no-rj-mo
عائلة ياسمين,UC6lHb5jtYNiMQsZdYlEJUDw,عائلة ياسمين,@jasminefamily8875,https://www.youtube.com/channel/UC6lHb5jtYNiMQsZdYlEJUDw,https://yt3.ggpht.com/QVidQOlkDsJVFFUmaluYCbPAhTaoRHbZFwK0FEM9cVN54wxSeAf23EhKbNgcWcr5vvk1git2=s88-c-k-c0x00ffffff-no-rj-mo
قناة كرزة,UCuYZByF1E-jO6iYEL1ClJvA,قناة كرزة - Karazah Channel,@KarazahChannel,https://www.youtube.com/channel/UCuYZByF1E-jO6iYEL1ClJvA,https://yt3.ggpht.com/ytc/AIdro_kZV9zndccMPjsERAJWTk28cVu_DVDCWpMlwF39XtLbPg=s88-c-k-c0x00ffffff-no-rj-mo
