channel_name,channel_id,title_found,subscribers,link,thumbnail
ABCmouse (محتوى مختار),UCPvEbO2bI5x1MVLUuRJoZXg,ABCmouse,@ABCmouse,https://www.youtube.com/channel/UCPvEbO2bI5x1MVLUuRJoZXg,https://yt3.ggpht.com/vCGruFK7tUJBU0Iz-v58uSctPAR7A8Ywy4mhC37Dr1-3_47oRSaXHoOXOhMzv3WQNqPpdr8z=s88-c-k-c0x00ffffff-no-rj-mo
Alphablocks,UC_qs3c0ehDvZkbiEbOj6Drg,Alphablocks,@officialalphablocks,https://www.youtube.com/channel/UC_qs3c0ehDvZkbiEbOj6Drg,https://yt3.ggpht.com/4hW2cvLDW8yX5v3O_PzzyfHhQ0MCv_URg_OFOdElQ0jJ-BmiS0zXMUwikr-D1WMkC2taQO-S=s88-c-k-c0x00ffffff-no-rj-mo
Brightly Storytime,UCvQagFNHMrGgQpYunk4rHXg,Brightly Storytime,@BrightlyStorytime,https://www.youtube.com/channel/UCvQagFNHMrGgQpYunk4rHXg,https://yt3.ggpht.com/xlk7yxMO-I1zef73Bvq3vNeFxoX48NCXCauc8QrgqzPwe55d3oMWsrPp9MtWZr5VDmz2R25RVg=s88-c-k-c0x00ffffff-no-rj-mo
British Council LearnEnglish Kids,UC-qWJlvaPME3MWvrY-yjXeA,British Council | LearnEnglish Kids,@BritishCouncilLEKids,https://www.youtube.com/channel/UC-qWJlvaPME3MWvrY-yjXeA,https://yt3.ggpht.com/bGuRf2Qn2mFnbDq4-bDFOU9WTSAE6Wyb4kLquwQqu0FGhAwDhZWfx7sNB0trW01XVVwOSykDyA=s88-c-k-c0x00ffffff-no-rj-mo
Jack Hartmann,UCVcQH8A634mauPrGbWs7QlQ,Jack Hartmann Kids Music Channel,@JackHartmann,https://www.youtube.com/channel/UCVcQH8A634mauPrGbWs7QlQ,https://yt3.googleusercontent.com/dBGALgiaMfeeHDUW5Vy5W8C8bSdre4ryyx8FMZ8XO_twhhC1GCxivReJS44Eto4rKqfQn9JutA=s88-c-k-c0x00ffffff-no-rj-mo
Kanz Kids,UCnjXH6GtB7-ji-9kxEiS23Q,Kanz Kids,@sarahkanz6817,https://www.youtube.com/channel/UCnjXH6GtB7-ji-9kxEiS23Q,https://yt3.ggpht.com/72gJfi42LMUYAzjBDGxYye3SrSvQcLKko6JrGCHGbBEUtqtPk6jf1QBs_arTDEqxNJgryX5_6g=s88-c-k-c0x00ffffff-no-rj-mo
Mr. T’s Phonics,UC7sW4j8p7k9D_qRRMUsGqyw,Mr T's Phonics,@MrTsPhonics,https://www.youtube.com/channel/UC7sW4j8p7k9D_qRRMUsGqyw,https://yt3.ggpht.com/6TWi1wOslMU2KtCGGx0SXRRFAMGXHxXqSiXf9HQj6CJiOC-zjjkwU154OM6FjzLDZLZ9axNoKA=s88-c-k-c0x00ffffff-no-rj-mo
Ms Bianca,UC9JnoGbrFrsnDXgpnX6ibnw,Ms bianca - kids Arabic learning videos,@msbianca-toddlerlearningvi2171,https://www.youtube.com/channel/UC9JnoGbrFrsnDXgpnX6ibnw,https://yt3.ggpht.com/Ckixshm2wbSDmMaiG61UqjCQ2Kp3UNyiISpLXhLYGsSk6j6uXjEa6QylTNTombT0x_S3Kk6qjA=s88-c-k-c0x00ffffff-no-rj-mo
Oxford Owl,UCllFxIfCNYQvsRepWxT7n8A,Oxford Owl - Learning at Home,@OxfordOwlHome,https://www.youtube.com/channel/UCllFxIfCNYQvsRepWxT7n8A,https://yt3.ggpht.com/j00zkbxMEmDnNEcM3aNFi58ywm0fp4_7JYKK5XCu4-tDcmFHBPmHk7VQBIo3IaufaMgT22qnlw=s88-c-k-c0x00ffffff-no-rj-mo
PBS Kids (WordWorld وغيرها),UCrNnk0wFBnCS1awGjq_ijGQ,PBS KIDS,@PBSKIDS,https://www.youtube.com/channel/UCrNnk0wFBnCS1awGjq_ijGQ,https://yt3.ggpht.com/ZBcGbfxSEOigEe07nPd5AsSrYRO9NLqyxBZ1rGLtFC4Fr6eUqoL5D97U_aHLN4wO-p66Q7sO0g=s88-c-k-c0x00ffffff-no-rj-mo
Reading Eggs (قنوات مرتبطة),UC8ED-7e2xA3fxgrM7Wq2XGQ,Reading Eggs,@readingeggs,https://www.youtube.com/channel/UC8ED-7e2xA3fxgrM7Wq2XGQ,https://yt3.ggpht.com/hL8yryPXFBkumHRhoWEN6OmDjvSwB7nbpmK3N18iY2x3bFKiVQii0yrXwJ-AnXhhXQI24oWE4A=s88-c-k-c0x00ffffff-no-rj-mo
Sesame Street,UC7DM7591Xkt1M2D3fs_wAlg,Sesame Street Classics ,@SesameStreetClassics,https://www.youtube.com/channel/UC7DM7591Xkt1M2D3fs_wAlg,https://yt3.ggpht.com/Ki_O4XA0WYmqSb9CuzJO7bmKYhGh54NMvwqlvL74PYFH_c8a1AvZot0iXcB7b-eV_mS35Sdbfso=s88-c-k-c0x00ffffff-no-rj-mo
Starfall,UCEJ-tRYXpu44ATN2j8cZgYw,starfall,@starfallxo,https://www.youtube.com/channel/UCEJ-tRYXpu44ATN2j8cZgYw,https://yt3.googleusercontent.com/Wpb-eELHbtVEP43vQgmvTZ2u0YAEYGHABc1fJHfP07EcJMWLJOAji733PvfkYY737z9hQqjzNlM=s88-c-k-c0x00ffffff-no-rj-mo
Super Simple Songs,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,@SuperSimpleSongs,https://www.youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q,https://yt3.ggpht.com/x7yHOvSWKX_olv_pgx1Ou4SsHI_eOg27sXy9jbNO15rHMG3y425LnmFIyoxDyvLA8Qi3k_0rWw=s88-c-k-c0x00ffffff-no-rj-mo
Super Why Arabic,UCbxK6jzYms1iMkU9Kwvl0sA,Super Why - WildBrain,@SuperWhy,https://www.youtube.com/channel/UCbxK6jzYms1iMkU9Kwvl0sA,https://yt3.ggpht.com/pnoaf-07-5-GViIuVWD3ZxvxcR1-ThCHd_H698ERhXQxz6BpjbLuqMVFcZ8801MNpt_nLbC2CA=s88-c-k-c0x00ffffff-no-rj-mo
Vooks,UCGfA6UdZEmpIwBZ4btAKkgA,Vooks - Stories and Read Alouds for Kids,@VooksStorybooks,https://www.youtube.com/channel/UCGfA6UdZEmpIwBZ4btAKkgA,https://yt3.ggpht.com/cPYqAZruURRoaXbPX6H5mTInt6CPDD3uwtcPhWhFt5jYOKGvi6F0qXncM1drHFFMFPJq1H1VhZg=s88-c-k-c0x00ffffff-no-rj-mo
أسرتنا,UCWIdqSQekeGmUWlSFeCiEnA,Osratouna tv - قناة أسرتنا,@Osratouna,https://www.youtube.com/channel/UCWIdqSQekeGmUWlSFeCiEnA,https://yt3.ggpht.com/e1j5eJXs-YInZyzWYahj0If0BgssXo_rxZ3WO2Yy2hxsBoQT658f1drvZuoy6t6dJl6eA1w9=s88-c-k-c0x00ffffff-no-rj-mo
أهلا سمسم,UC48pfslXOUx-PZTLQxZjS4g,اهلا سمسم - Ahlan Simsim,@ahlansimsim,https://www.youtube.com/channel/UC48pfslXOUx-PZTLQxZjS4g,https://yt3.googleusercontent.com/ytc/AIdro_n7OrVY5nsST3Mzf-2OaxSj4B_lew2lT6QCK_sJp9VrCEY=s88-c-k-c0x00ffffff-no-rj-mo
