channel_name,channel_id,title_found,subscribers,link,thumbnail
Alphablocks,UC_qs3c0ehDvZkbiEbOj6Drg,Alphablocks,@officialalphablocks,https://www.youtube.com/channel/UC_qs3c0ehDvZkbiEbOj6Drg,https://yt3.ggpht.com/4hW2cvLDW8yX5v3O_PzzyfHhQ0MCv_URg_OFOdElQ0jJ-BmiS0zXMUwikr-D1WMkC2taQO-S=s88-c-k-c0x00ffffff-no-rj-mo
Blippi,UCTHDPeOUn0xGxsKv6j_-oZQ,Blippi Plays - Video Games for Kids,@BlippiRoblox,https://www.youtube.com/channel/UCTHDPeOUn0xGxsKv6j_-oZQ,https://yt3.ggpht.com/tJXhBauN4eajNWzqmCxxm6o1sOIxuBmJaT-rT8lY-tyHRt5ll3aaJhaSFoR3uxBD1W9UncgzXEw=s88-c-k-c0x00ffffff-no-rj-mo
Blue's Clues & You,UCjZo1E1P6wDDyw6ImVgKM-A,Blue's Clues & You!,@bluesclues,https://www.youtube.com/channel/UCjZo1E1P6wDDyw6ImVgKM-A,https://yt3.googleusercontent.com/ytc/AIdro_mQajRZ_lOUY3N7suej4JQbe5dk6jKd7X8Dx61F3GCQw3k=s88-c-k-c0x00ffffff-no-rj-mo
Bluey,UCsHGwvra0mC27IQdtXwaLpA,Bluey - Topic,127K subscribers,https://www.youtube.com/channel/UCsHGwvra0mC27IQdtXwaLpA,https://yt3.ggpht.com/nQ9keHMuy_sL4cEbcDX1BHDgt_1U2tDz7oH4FtW25ZZw2xFOxnh06BODN9Sm3kj1QQIa1c2Ht1E=s88-c-k-c0x00ffffff-no-rj-mo
Curious George,UCu7IDy0y-ZA0qaG51wrQY6w,Curious George Official,@CuriousGeorge,https://www.youtube.com/channel/UCu7IDy0y-ZA0qaG51wrQY6w,https://yt3.googleusercontent.com/ytc/AIdro_mme5GlHmFNnSrrGhurc8y-IRauHMAkCUQGbAF_k2CbzCs=s88-c-k-c0x00ffffff-no-rj-mo
Daniel Tiger's Neighborhood,UCDqgSnRMGVx3dP4sn3ATZMA,Daniel Tiger's Neighbourhood - Scholastic,@DanielTigersNeighbourhood,https://www.youtube.com/channel/UCDqgSnRMGVx3dP4sn3ATZMA,https://yt3.ggpht.com/k3pkf9JtoXBa4N_64NW6oEe1ZA0JUebvZB_g-AiFdymitKjPs476hhQagXUmL0ic7aEslnR1nQ=s88-c-k-c0x00ffffff-no-rj-mo
Hey Duggee,UCj_mFUb-47d9QNiJ5556LjQ,Hey Duggee Official,@HeyDuggeeOfficial,https://www.youtube.com/channel/UCj_mFUb-47d9QNiJ5556LjQ,https://yt3.ggpht.com/H4OkKHNdMfPBVbEq2XDr2uQoKSlFGzjPDG-UnzDMUhZQAoovK81Cidw4aKR_9f-84Bh6i9gA=s88-c-k-c0x00ffffff-no-rj-mo
Learn with Zakaria,UCtlcIZVBdFPSAtCoNZsTusg,Learn with Zakaria - تعلم مع زكريا,@LearnWithZakaria,https://www.youtube.com/channel/UCtlcIZVBdFPSAtCoNZsTusg,https://yt3.googleusercontent.com/ytc/AIdro_m53hyD-iEwEjLfQB5xKyRqmyNPUVvfJV1XI9JLztgpDdc=s88-c-k-c0x00ffffff-no-rj-mo
Moonbug Kids Arabic,UCbZSFONSW8Ue6PWH7ZzQeOg,Moonbug Kids Arabic - برامج كرتون واغاني اطفال,@MoonbugKidsArabic,https://www.youtube.com/channel/UCbZSFONSW8Ue6PWH7ZzQeOg,https://yt3.ggpht.com/MTjvO1HbZ4I8TOkRqriqX8Gr8EzWnKifEzZfmsTZpH3KXLnVTpXADi-DOtxCuwpk--ACNNZkOH0=s88-c-k-c0x00ffffff-no-rj-mo
Numberblocks,UCPlwvN0w4qFSP1FllALB92w,Numberblocks,@Numberblocks,https://www.youtube.com/channel/UCPlwvN0w4qFSP1FllALB92w,https://yt3.ggpht.com/lhZzvbA1gptFuwFBPKJBsyCS7eksCbOWdX0iLNZeUygKGysu6veWmSGFVNJTGd9qfvYXoPTJoIw=s88-c-k-c0x00ffffff-no-rj-mo
