channel_name,channel_id,title_found,subscribers,link,thumbnail
Barefoot Books,UCf_8ZTFvJeS8U60W8C8PGhA,Barefoot Books,@barefootbooks,https://www.youtube.com/channel/UCf_8ZTFvJeS8U60W8C8PGhA,https://yt3.googleusercontent.com/ytc/AIdro_lD3mKbImDwLfOXWER5E_60sA0PZ4a3pB8iR5PXaoq9xA=s88-c-k-c0x00ffffff-no-rj-mo
Bum Bum Kids Arabic,UC2l2PpZB_kqmyxVVzAO9DvA,Bum Bum Kids Arabic - أغاني أطفال ورسوم متحركة,@BumBumKidsArabic,https://www.youtube.com/channel/UC2l2PpZB_kqmyxVVzAO9DvA,https://yt3.ggpht.com/JnkEPU_86GbqVMoggJV3HGUZKo5fgOYraRSiMHqId5kccbAOC2ASIy2rVsev68pr7ag4J8C7eQ=s88-c-k-c0x00ffffff-no-rj-mo
Cocomelon,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,@CoComelon,https://www.youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,https://yt3.googleusercontent.com/yiljI_XQcX8X0p_E2S0APGrUs7tHBMukf5_3dhVzhbH-z5uhzpt88tUopQa7ngVwO1nGAAnr6A=s88-c-k-c0x00ffffff-no-rj-mo
Danny Go!,UC3wCAOfSB0W9iuKDDtNJeGw,Danny Go!,@DannyGo,https://www.youtube.com/channel/UC3wCAOfSB0W9iuKDDtNJeGw,https://yt3.ggpht.com/XZRGHp_h5B4hPN0ONESzPKv08p_1oBkkkyTYHsTWQpRtcsY6_HwXWmHQ6DhXxvztj5SwWB7rvw=s88-c-k-c0x00ffffff-no-rj-mo
GoNoodle,UC2YBT7HYqCbbvzu3kKZ3wnw,GoNoodle | Get Moving,@GoNoodle,https://www.youtube.com/channel/UC2YBT7HYqCbbvzu3kKZ3wnw,https://yt3.googleusercontent.com/ytc/AIdro_lpPsraLlE6yw-vcFVQ7b64fIW-0jEkKgzL5eHc3Xv2zVk=s88-c-k-c0x00ffffff-no-rj-mo
Kidz Bop,UCKE0Xnj818IDaHvIcRiq0Bg,KIDZ BOP,@kidzbop,https://www.youtube.com/channel/UCKE0Xnj818IDaHvIcRiq0Bg,https://yt3.googleusercontent.com/KNyoR440C6vB8FU2OMDoKIiuxJ9t0bkRDTKBJ9eCl-H_LH66i-g6uVrCqWKsh2Zi8cBSG1jE624=s88-c-k-c0x00ffffff-no-rj-mo
Lila TV,UCVjAUYDzNh8OxezgGf8Lb2g,Lila TV,@LilaTV,https://www.youtube.com/channel/UCVjAUYDzNh8OxezgGf8Lb2g,https://yt3.ggpht.com/ytc/AIdro_kcdHHfEW_XnJDc8X_LTWOcKvp06Rb7gIhLxGV4pqV_sTE=s88-c-k-c0x00ffffff-no-rj-mo
Little Baby Bum,UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum - Nursery Rhymes & Kids Songs,@LittleBabyBum,https://www.youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q,https://yt3.googleusercontent.com/m_TEySnkSgW4JSO1zH-Ln0Hu0v9mGUTMQXJawt3dpHVLB6VjC7jme0bJkziIvKbx2YW1IhfPxho=s88-c-k-c0x00ffffff-no-rj-mo
Moonbug Kids Arabic,UCbZSFONSW8Ue6PWH7ZzQeOg,Moonbug Kids Arabic - برامج كرتون واغاني اطفال,@MoonbugKidsArabic,https://www.youtube.com/channel/UCbZSFONSW8Ue6PWH7ZzQeOg,https://yt3.ggpht.com/MTjvO1HbZ4I8TOkRqriqX8Gr8EzWnKifEzZfmsTZpH3KXLnVTpXADi-DOtxCuwpk--ACNNZkOH0=s88-c-k-c0x00ffffff-no-rj-mo
Mother Goose Club,UCJkWoS4RsldA1coEIot5yDA,Mother Goose Club,@MotherGooseClub,https://www.youtube.com/channel/UCJkWoS4RsldA1coEIot5yDA,https://yt3.ggpht.com/e3e7c2_ZvczP3q0CY5kAJhw1ofFqJTGQldYEuCJu_r54NO2Y6udAESmqnKc7u34LtOuLJhdU=s88-c-k-c0x00ffffff-no-rj-mo
