channel_name,channel_id,title_found,subscribers,link,thumbnail
All Attack,UC0Ik25PHaiHCbfGrzu-lBFQ,AllAttack,@AllAttack,https://www.youtube.com/channel/UC0Ik25PHaiHCbfGrzu-lBFQ,https://yt3.googleusercontent.com/ytc/AIdro_kmqQt8yOlN5A8DFkGdnedC6CuZQwH5eG9Bum4lFMafYoI=s88-c-k-c0x00ffffff-no-rj-mo
Blippi,UCTHDPeOUn0xGxsKv6j_-oZQ,Blippi Plays - Video Games for Kids,@BlippiRoblox,https://www.youtube.com/channel/UCTHDPeOUn0xGxsKv6j_-oZQ,https://yt3.ggpht.com/tJXhBauN4eajNWzqmCxxm6o1sOIxuBmJaT-rT8lY-tyHRt5ll3aaJhaSFoR3uxBD1W9UncgzXEw=s88-c-k-c0x00ffffff-no-rj-mo
Coach Javi,UCnROn7MrUnpnM8sjzdjz1Qg,Coach Javi,@CoachJavi,https://www.youtube.com/channel/UCnROn7MrUnpnM8sjzdjz1Qg,https://yt3.googleusercontent.com/ytc/AIdro_mQmv7VkRqCVNNNHlaIhIFBScs673pSvzQEmg4b9-XeUCo=s88-c-k-c0x00ffffff-no-rj-mo
Coach Koko,UClsCIZlWRqwwh73WpkEnNIw,KoKo Volley,@KokoVolley,https://www.youtube.com/channel/UClsCIZlWRqwwh73WpkEnNIw,https://yt3.ggpht.com/wT9oUoKm0Zu7SszN584e61UnmfQpbR3cCABt6xPMqMCZmbtFQXUGaIW0lgn6tGCwPYONbeF2FIs=s88-c-k-c0x00ffffff-no-rj-mo
Cosmic Kids Yoga,UC5uIZ2KOZZeQDQo_Gsi_qbQ,Cosmic Kids Yoga,@CosmicKidsYoga,https://www.youtube.com/channel/UC5uIZ2KOZZeQDQo_Gsi_qbQ,https://yt3.ggpht.com/Yc9p76OfTXkdYN5f0iGJqpfmgTZxZkmwvwmL6S7s63QA8UTuBFyBfjL6xYpsX-XdGiKqxfGWkQ=s88-c-k-c0x00ffffff-no-rj-mo
Eddie10,UCpAN5w-I9p7YB5ar0YXYwrw,Eddie10 - Football Coaching for Kids,@Eddie10KidsFootballTraining,https://www.youtube.com/channel/UCpAN5w-I9p7YB5ar0YXYwrw,https://yt3.googleusercontent.com/ytc/AIdro_nibl0vp1AX3E28KcdZFDc0ujZYSoQ1UbsIqPqfzcvgfA=s88-c-k-c0x00ffffff-no-rj-mo
El Reino Infantil,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,@ElReinoInfantil,https://www.youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA,https://yt3.ggpht.com/2umJG6xbgHUku4brCTjAs-GRhxS4evggBSR7Ov5X0RLAVaj42vOL8DatoiiDsKhOATAruoMKFQ=s88-c-k-c0x00ffffff-no-rj-mo
F2Freestylers,UCKvn9VBLAiLiYL4FFJHri6g,Pro Football Academy – The Next Gen of Ballers!,@ProFootballAcademyOfficial,https://www.youtube.com/channel/UCKvn9VBLAiLiYL4FFJHri6g,https://yt3.ggpht.com/nC9_A-H5OfEOkikZ3Ta4pgTQu1MEwob75gqboH0qDBm3y-jvMEtZLOkef4JRZvZmMO5xPqE05w=s88-c-k-c0x00ffffff-no-rj-mo
Fun Arabic,UC18sdBGHRZZS7X78Im8FiGQ,Fun Arabic,@ranyasadek,https://www.youtube.com/channel/UC18sdBGHRZZS7X78Im8FiGQ,https://yt3.ggpht.com/AhqFQ0MSu29yx2cafmqDR-vnG_gqZAL0aY2SFZKK1KyppNpcN2DYepJeGBvI9W3wPNBwen87VA=s88-c-k-c0x00ffffff-no-rj-mo
Get Handles,UC5dQbtRQ0Wjux7JKtDjFJTw,Get Handles Basketball,@GetHandles,https://www.youtube.com/channel/UC5dQbtRQ0Wjux7JKtDjFJTw,https://yt3.googleusercontent.com/ytc/AIdro_nUb2b3kMV0vz7xIDbdMo6ZQdwm-t8qP1oMbZs96aoYihE=s88-c-k-c0x00ffffff-no-rj-mo
