channel_name,channel_id,title_found,subscribers,link,thumbnail
Alphablocks,UC_qs3c0ehDvZkbiEbOj6Drg,Alphablocks,@officialalphablocks,https://www.youtube.com/channel/UC_qs3c0ehDvZkbiEbOj6Drg,https://yt3.ggpht.com/4hW2cvLDW8yX5v3O_PzzyfHhQ0MCv_URg_OFOdElQ0jJ-BmiS0zXMUwikr-D1WMkC2taQO-S=s88-c-k-c0x00ffffff-no-rj-mo
Arabian Fairy Tales,UCazFScO30FKY3YoNNDfNY5g,Arabian Fairy Tales,@ArabianFairyTales,https://www.youtube.com/channel/UCazFScO30FKY3YoNNDfNY5g,https://yt3.googleusercontent.com/ytc/AIdro_lM_-zvamn9foYGWs_sKC1sjmMBEk6nOhsC4ZSHhg-GbPI=s88-c-k-c0x00ffffff-no-rj-mo
Bluey,UCsHGwvra0mC27IQdtXwaLpA,Bluey - Topic,127K subscribers,https://www.youtube.com/channel/UCsHGwvra0mC27IQdtXwaLpA,https://yt3.ggpht.com/nQ9keHMuy_sL4cEbcDX1BHDgt_1U2tDz7oH4FtW25ZZw2xFOxnh06BODN9Sm3kj1QQIa1c2Ht1E=s88-c-k-c0x00ffffff-no-rj-mo
Brightly Storytime,UCvQagFNHMrGgQpYunk4rHXg,Brightly Storytime,@BrightlyStorytime,https://www.youtube.com/channel/UCvQagFNHMrGgQpYunk4rHXg,https://yt3.ggpht.com/xlk7yxMO-I1zef73Bvq3vNeFxoX48NCXCauc8QrgqzPwe55d3oMWsrPp9MtWZr5VDmz2R25RVg=s88-c-k-c0x00ffffff-no-rj-mo
Cosmic Kids Yoga,UC5uIZ2KOZZeQDQo_Gsi_qbQ,Cosmic Kids Yoga,@CosmicKidsYoga,https://www.youtube.com/channel/UC5uIZ2KOZZeQDQo_Gsi_qbQ,https://yt3.ggpht.com/Yc9p76OfTXkdYN5f0iGJqpfmgTZxZkmwvwmL6S7s63QA8UTuBFyBfjL6xYpsX-XdGiKqxfGWkQ=s88-c-k-c0x00ffffff-no-rj-mo
Daniel Tiger's Neighborhood,UCDqgSnRMGVx3dP4sn3ATZMA,Daniel Tiger's Neighbourhood - Scholastic,@DanielTigersNeighbourhood,https://www.youtube.com/channel/UCDqgSnRMGVx3dP4sn3ATZMA,https://yt3.ggpht.com/k3pkf9JtoXBa4N_64NW6oEe1ZA0JUebvZB_g-AiFdymitKjPs476hhQagXUmL0ic7aEslnR1nQ=s88-c-k-c0x00ffffff-no-rj-mo
Kids Planet عربي,UCPypKAlYwwVz9Bsc8ifpbzQ,Kids Planet عربى,@KidsPlanetArabic,https://www.youtube.com/channel/UCPypKAlYwwVz9Bsc8ifpbzQ,https://yt3.googleusercontent.com/ytc/AIdro_ksDSEKj4mfy62BU8VS7p5dc5XnNbuUdWdMvitbP9bJJA=s88-c-k-c0x00ffffff-no-rj-mo
Lali Kids,UCHe3dvWc9tiTZ9jReuZLLwA,Lali kids Songs أغاني لالي كدز ,@LaliKids,https://www.youtube.com/channel/UCHe3dvWc9tiTZ9jReuZLLwA,https://yt3.googleusercontent.com/vzy_AQcgLXpe3rTAmpwq0AzA9PpD8StoU8QNUMhu4OAg4j7B7ObNI3M5Yyin2Vb-yjfs6vY34A=s88-c-k-c0x00ffffff-no-rj-mo
Numberblocks,UCPlwvN0w4qFSP1FllALB92w,Numberblocks,@Numberblocks,https://www.youtube.com/channel/UCPlwvN0w4qFSP1FllALB92w,https://yt3.ggpht.com/lhZzvbA1gptFuwFBPKJBsyCS7eksCbOWdX0iLNZeUygKGysu6veWmSGFVNJTGd9qfvYXoPTJoIw=s88-c-k-c0x00ffffff-no-rj-mo
Peppa Pig,UCAOtE1V7Ots4DjM8JLlrYgg,Peppa Pig - Official Channel,@PeppaPigOfficial,https://www.youtube.com/channel/UCAOtE1V7Ots4DjM8JLlrYgg,https://yt3.ggpht.com/4sHHtkYxkkdfdqyhFG_mt1U-C46v3zt7z5jsySrXnAqRTHrnlUJfVRRF-02szzgaOhqz1eVX=s88-c-k-c0x00ffffff-no-rj-mo
